model,val_accuracy,test_accuracy,val_roc_auc,test_roc_auc,train_time_seconds
logistic_regression,0.6773255813953488,0.6746490408462239,0.7454583757023175,0.7427104009089421,1.893789529800415
ridge_classifier,0.6763565891472868,0.6746144351778155,0.7454337282926415,0.7426676140810472,2.1785547733306885
adaboost,0.6742571059431525,0.6732417436642789,0.7432294934920797,0.7410921091256625,260.9998605251312
